,train_score,test_score,model,arg_list
55,0.5813268754652676,0.5794058700140794,lasso,"(-1, 2.0, 100, 0.0001, 'cyclic')"
56,0.5813222302860369,0.57940136432306,lasso,"(-1, 2.0, 100, 0.0001, 'random')"
57,0.5813289951669893,0.5794077145448786,lasso,"(-1, 2.0, 100, 0.001, 'cyclic')"
58,0.5813792500549197,0.5794577348964097,lasso,"(-1, 2.0, 100, 0.001, 'random')"
59,0.5813289951669893,0.5794077145448786,lasso,"(-1, 2.0, 100, 0.01, 'cyclic')"
60,0.5778958234232232,0.5759451710166058,lasso,"(-1, 2.0, 100, 0.01, 'random')"
61,0.5813268754652676,0.5794058700140794,lasso,"(-1, 2.0, 1000, 0.0001, 'cyclic')"
62,0.5813270423435866,0.5794061216349664,lasso,"(-1, 2.0, 1000, 0.0001, 'random')"
63,0.5813289951669893,0.5794077145448786,lasso,"(-1, 2.0, 1000, 0.001, 'cyclic')"
64,0.5813340407098512,0.5794121015890116,lasso,"(-1, 2.0, 1000, 0.001, 'random')"
65,0.5813289951669893,0.5794077145448786,lasso,"(-1, 2.0, 1000, 0.01, 'cyclic')"
66,0.581297223349117,0.5793799814188433,lasso,"(-1, 2.0, 1000, 0.01, 'random')"
67,0.5813268754652676,0.5794058700140794,lasso,"(-1, 2.0, 10000, 0.0001, 'cyclic')"
68,0.5813223753652272,0.5794015077518302,lasso,"(-1, 2.0, 10000, 0.0001, 'random')"
69,0.5813289951669893,0.5794077145448786,lasso,"(-1, 2.0, 10000, 0.001, 'cyclic')"
70,0.5813340407098512,0.5794121015890116,lasso,"(-1, 2.0, 10000, 0.001, 'random')"
71,0.5813289951669893,0.5794077145448786,lasso,"(-1, 2.0, 10000, 0.01, 'cyclic')"
72,0.5813340407098512,0.5794121015890116,lasso,"(-1, 2.0, 10000, 0.01, 'random')"
73,0.5630971694415189,0.5612482424961309,lasso,"(-1, 5.0, 100, 0.0001, 'cyclic')"
74,0.5630971500837391,0.5612482243775121,lasso,"(-1, 5.0, 100, 0.0001, 'random')"
75,0.5630798891518571,0.5612320666036776,lasso,"(-1, 5.0, 100, 0.001, 'cyclic')"
76,0.5630676842161868,0.5612189578205308,lasso,"(-1, 5.0, 100, 0.001, 'random')"
77,0.5630257462349908,0.5611813614276895,lasso,"(-1, 5.0, 100, 0.01, 'cyclic')"
78,0.5631205650869836,0.561270137202653,lasso,"(-1, 5.0, 100, 0.01, 'random')"
79,0.5630971694415189,0.5612482424961309,lasso,"(-1, 5.0, 1000, 0.0001, 'cyclic')"
