,train_score,test_score
188,0.7337102070618977,0.7961319557404142
189,0.7337102070618977,0.7961319557404142
190,0.7337102070618977,0.7961319557404142
191,0.7256180449861833,0.7856827033763527
192,0.7309106388037107,0.7913581136253598
193,0.7326967516074927,0.7936990090687533
194,0.7267852398178749,0.7847781254740234
195,0.7337102070618977,0.7961319557404142
196,0.7337102070618977,0.7961319557404142
197,0.7337102070618977,0.7961319557404142
198,0.7337102070247954,0.7961316144859203
199,0.7337102070580246,0.7961318684301277
200,0.7337084870955952,0.7961134463903818
201,0.7337050706271432,0.7960731337644571
202,0.7337102070618977,0.7961319557404142
203,0.7337102070618977,0.7961319557404142
204,0.7337102070618977,0.7961319557404142
205,0.7337102070247954,0.7961316144859203
206,0.7337102070580246,0.7961318684301277
207,0.7336879814276873,0.7959067766848161
208,0.7335982121174937,0.7955423930576859
209,0.7337102070618977,0.7961319557404142
210,0.7337102070618977,0.7961319557404142
211,0.7337102070618977,0.7961319557404142
212,0.7256180449861833,0.7856827033763527
213,0.7309106388037107,0.7913581136253598
214,0.7325100232163569,0.7923079942602457
215,0.7277122280778912,0.7858455101955331
216,0.733692311764902,0.7959802316677902
217,0.733692311764902,0.7959802316677903
218,0.733692311764902,0.7959802316677902
219,0.7336923117203107,0.7959798895414903
220,0.7336923117659865,0.7959802613444136
221,0.733689464356164,0.7959561954582127
222,0.7336828310495398,0.7959183885198828
223,0.733692311764902,0.7959802316677902
224,0.733692311764902,0.7959802316677903
225,0.733692311764902,0.7959802316677902
226,0.7336923117203107,0.7959798895414903
227,0.7336923117659865,0.7959802613444136
228,0.7336512590571064,0.7957764060024582
229,0.7335431877979071,0.7953690704270538
230,0.733692311764902,0.7959802316677902
231,0.733692311764902,0.7959802316677903
232,0.733692311764902,0.7959802316677902
233,0.7256012130742375,0.7855430091923763
234,0.7308932380147055,0.7912287603785313
235,0.7321609866670327,0.7912945464995866
236,0.7273606979039127,0.7855755213546062
237,0.733692311764902,0.7959802316677902
238,0.733692311764902,0.7959802316677903
239,0.733692311764902,0.7959802316677902
240,0.7336923117203107,0.7959798895414903
241,0.7336923117659865,0.7959802613444136
242,0.7336896042942276,0.795977515667896
243,0.7336831203948029,0.7959191084279114
244,0.733692311764902,0.7959802316677902
245,0.733692311764902,0.7959802316677903
246,0.733692311764902,0.7959802316677902
247,0.7336923117203107,0.7959798895414903
248,0.7336923117659865,0.7959802613444136
249,0.7336567763697875,0.7958121052736205
250,0.7335379658402605,0.7953059310313305
251,0.733692311764902,0.7959802316677902
252,0.733692311764902,0.7959802316677903
253,0.733692311764902,0.7959802316677902
254,0.7256012130742375,0.7855430091923763
255,0.7308932380147055,0.7912287603785313
256,0.7326144243211155,0.7936435172240917
257,0.7266009383853798,0.7846899664222603
258,0.733692311764902,0.7959802316677902
259,0.733692311764902,0.7959802316677903
260,0.733692311764902,0.7959802316677902
261,0.7336923117203107,0.7959798895414903
262,0.7336923117659865,0.7959802613444136
263,0.7336890212540887,0.7959519990603469
264,0.7336830857954075,0.7959210376677173
265,0.733692311764902,0.7959802316677902
266,0.733692311764902,0.7959802316677903
267,0.733692311764902,0.7959802316677902
268,0.7336923117203107,0.7959798895414903
269,0.7336923117659865,0.7959802613444136
270,0.7336573380771909,0.7958016431401378
271,0.7335410332837836,0.795307522871983
272,0.733692311764902,0.7959802316677902
273,0.733692311764902,0.7959802316677903
274,0.733692311764902,0.7959802316677902
275,0.7256012130742375,0.7855430091923763
276,0.7308932380147055,0.7912287603785313
277,0.7322818217478868,0.7920921769655573
278,0.7263929221888754,0.7843054264207524
279,0.733621758571323,0.7956461679770589
280,0.733621758571323,0.7956461679770589
281,0.733621758571323,0.7956461679770589
282,0.73362175851203,0.795645824212442
283,0.7336217585746279,0.7956462115840969
284,0.7336163148702199,0.795628177885155
285,0.7336050817091047,0.7955787198330658
286,0.733621758571323,0.7956461679770589
287,0.733621758571323,0.7956461679770589
288,0.733621758571323,0.7956461679770589
289,0.73362175851203,0.795645824212442
290,0.7336217585746279,0.7956462115840969
291,0.7335633741347704,0.7954615670655778
292,0.733398031200805,0.7949637958370865
293,0.733621758571323,0.7956461679770589
294,0.733621758571323,0.7956461679770589
295,0.733621758571323,0.7956461679770589
296,0.7255348242104196,0.7852346754592163
297,0.7308246180005743,0.7909395509391353
298,0.7323070460864127,0.7926863400575422
299,0.726173159029407,0.784176466229038
300,0.733621758571323,0.7956461679770589
301,0.733621758571323,0.7956461679770589
302,0.733621758571323,0.7956461679770589
303,0.73362175851203,0.795645824212442
304,0.7336217585746279,0.7956462115840969
305,0.7336150875145951,0.7956162154924988
306,0.7336052086182315,0.795579857506673
307,0.733621758571323,0.7956461679770589
308,0.733621758571323,0.7956461679770589
309,0.733621758571323,0.7956461679770589
310,0.73362175851203,0.795645824212442
311,0.7336217585746279,0.7956462115840969
312,0.7335436531062969,0.7954087118616042
313,0.7333751580845451,0.7948599214489526
314,0.733621758571323,0.7956461679770589
315,0.733621758571323,0.7956461679770589
316,0.733621758571323,0.7956461679770589
317,0.7255348242104196,0.7852346754592163
318,0.7308246180005743,0.7909395509391353
319,0.7321225121612055,0.7918514860114304
320,0.726897450982998,0.784982512948013
321,0.733621758571323,0.7956461679770589
322,0.733621758571323,0.7956461679770589
323,0.733621758571323,0.7956461679770589
324,0.73362175851203,0.795645824212442
325,0.7336217585746279,0.7956462115840969
326,0.733616398251868,0.7956306779115874
327,0.7336049219660016,0.7955810888412146
328,0.733621758571323,0.7956461679770589
329,0.733621758571323,0.7956461679770589
